OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed
1,PEC-CAR-0001/PEC-SPO-0003,Caroline County,Mattameade Tech Campus,Amazon Data Services Inc,Stonewall Jackson Road just east of the Mudd Tavern,27-A-4A,916.07,"4,500,000",,New,Proposed,Sister property to Spotsylvania campus- represents total square footage,,https://co.caroline.va.us/DocumentCenter/View/7255/RZ-02-2023-Orrock-Tech-Camus?bidId=,38.11464706,-77.49115332,2024-04-10,SEP,38.11464706,
2,PEC-CAR-0002,Caroline County,VALCO Data Center Park,VALCO CAROLINE COUNTY,Mt Airy Road,80-A-43,855.0,"1,216,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://co.caroline.va.us/AgendaCenter/ViewFile/Item/5593?fileID=9447,37.92410305,-77.54387212,2024-04-10,SEP,37.92410305,
3,PEC-CAR-0003,Caroline County,Carmel Church Data Hub,W & F PARTNERS,Welcom Way Dr,82-14-A,97.0,"1,600,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://co.caroline.va.us/DocumentCenter/View/9366/RZ-03-2023--Carmel-Church-Data-Hub,37.93932712,-77.47797277,2024-04-10,SEP,37.93932712,
4,PEC-CHE-0001,Chesterfield County,Digital Fortress: Richmond,CHIRISA RICHMOND LLC,1401 MEADOWVILLE TECH PARKWAY,823657720300000,74.8,"242,042",25.0,Complete,Existing,Formerly a Capital One data center - vacated and for sale,https://www.chesterfield.gov/828/Real-Estate-Assessment-Data#/Details/823657720300000,,37.36048164,-77.3274112,2024-04-10,SEP,37.36048164,
5,PEC-CHE-0002,Chesterfield County,Virginia Information Technologies Agency,SLK GLOBAL SOLUTIONS AMERICA,11751 MEADOWVILLE LANE,822656429800000,28.14,"192,195",,Complete,Existing,,https://www.chesterfield.gov/828/Real-Estate-Assessment-Data#/Details/822656429800000,,37.36041473,-77.33177783,2024-04-10,SEP,37.36041473,
6,PEC-CUL-0001,Culpeper County,Equinix,EQUINIX LLC,  18155 TECHNOLOGY DR,51-83A1,30.12,"370,000",,Complete,Existing,,https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=10680,,38.45493884,-77.9782759,2024-04-10,SEP,38.45493884,
7,PEC-CUL-0002,Culpeper County,SWIFT,,,51       83F,,"90,000",,Complete,Existing,,,,38.45553926,-77.98348028,2024-04-10,SEP,38.45553926,
8,PEC-CUL-0003,Culpeper County,Cielo Digital Infrastructure,Cielo Digital Infrastructure,Cielo Digital Infrastructure,41-110,120.89,"1,400,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=3148,http://go.boarddocs.com/va/ccva/Board.nsf/goto?open&id=CWBKLL525B17,38.46678642,-77.96353121,2024-04-10,SEP,38.46678642,
9,PEC-CUL-0004,Culpeper County,CloudHQ,CloudHQ,14521 MCDEVITT DR,41-106D,98.56,"2,100,000",,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=21853,"https://www.culpeperva.org/properties/cloudhq-culpeper/#:~:text=CloudHQ%2C%20a%20global%20data%20center,of%20critical%20IT%20load%20power.",38.46163914,-77.97761531,2024-04-10,SEP,38.46163914,
10,PEC-CUL-0005,Culpeper County,Copper Ridge,Copper Ridge Culpeper LLC,,,,"2,200,000",,New,Proposed,,,https://datacenterdynamics.com/en/news/amazon-granted-rezoning-approval-for-data-centers-in-culpeper-county-virginia/,38.46529475,-77.98738914,2024-04-10,SEP,38.46529475,
11,PEC-CUL-0006,Culpeper County,Culpeper Technology Campus,Peterson Cos.,,,,"2,100,000",,New,Proposed,,,https://www.bisnow.com/national/news/data-center/peterson-companies-developing-2m-sf-data-center-campus-in-northern-virginia-119735,38.460241,-77.98773076,2024-04-10,SEP,38.460241,
12,PEC-CUL-0007,Culpeper County,Marvell Developments,Amazon Data Services Inc,20420 GERMANNA HWY,54-14C,223.28,"445,000",,New,Proposed,,https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=10215,https://go.boarddocs.com/va/tocva/Board.nsf/files/CTNP796180C4/$file/Copper%20Ridge%20Data%20Center_RZStaffReport.pdf,38.43580249,-77.87576086,2024-04-10,SEP,38.43580249,
13,PEC-CUL-0008,Culpeper County,DataBank,DB DATA CENTER CULPEPER LLC,14601 GERMANNA HWY,51-84E,84.79,"900,000",,New,Proposed,,https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=11743,http://go.boarddocs.com/va/ccva/Board.nsf/goto?open&id=BD5H3G466E8A,38.44995873,-77.97818589,2024-04-10,SEP,38.44995873,
14,PEC-CUL-0009,Culpeper County,Keyser Farm,"Red Ace, Keyser Family",15140 KEYSER RD,41-97,61.75,1506582,,New,Proposed,application has been filed with the county,https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=6279,,38.46971066,-77.97375268,2024-04-10,SEP,38.46971066,
15,PEC-CUL-0010,Culpeper County,AttoTek,"AttoTek, David Martin",15170 HOFFMAN LN,43-5,351.77,4638704,,New,Proposed,application has been filed with the county,https://gis.vgsi.com/culpeperva/Parcel.aspx?pid=7077,,38.49927261,-77.89710587,2024-04-10,SEP,38.49927261,
16,PEC-FAX-0001,Fairfax County,Amazon Web Services Mallory,Amazon Data Services Inc,14501 AVION PKWY,0341 03 0013,47.69,"440,870",,"Operating, Expanding",Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0341%2003%20%200013&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.90492701,-77.45381063,2024-04-10,SEP,38.90492701,
17,PEC-FAX-0002,Fairfax County,AWS Westfax A,Amazon Data Services Inc,4101 WESTFAX DR ,0343 09 0004,6.02,"95,000",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0343%2009%20%200004&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.89798901,-77.45402906,2024-04-10,SEP,38.89798901,
18,PEC-FAX-0003,Fairfax County,AWS Westfax B,Amazon Data Services Inc,4100 WESTFAX DR,0343 09 0003A,7.05,"95,000",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0343%2009%20%200003A&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.89959217,-77.45343897,2024-04-10,SEP,38.89959217,
19,PEC-FAX-0004,Fairfax County,BIT HOLDINGS FIFTY-FOUR,BIT HOLDINGS FIFTY-FOUR INC,12902 FEDERAL SYSTEMS PARK DR,0552 01 0019,14.06,"338,364",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0552%2001%20%200019&jur=129&taxyr=2025,,38.86084188,-77.39341084,2024-04-10,SEP,38.86084188,
20,PEC-FAX-0005,Fairfax County,CHANTILLY TECHNOLOGY PARTNERS,CHANTILLY TECHNOLOGY PARTNERS LLC,4030 LAFAYETTE CENTER DR,0332 01 0010D,11.62,"145,409",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0332%2001%20%200010D&jur=129&taxyr=2025,,38.91006955,-77.47269439,2024-04-10,SEP,38.91006955,
21,PEC-FAX-0006,Fairfax County,COPT STONECROFT,COPT STONECROFT LLC,4850 STONECROFT BLVD,0432 02 0039C,64.12,"320,330",,Complete,Existing,square footage may be underrepresented,https://icare.fairfaxcounty.gov/ffxcare/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=0432%2002%20%200039C&jur=129&taxyr=2025&LMparent=138,,38.87626236,-77.46177616,2024-04-10,SEP,38.87626236,
22,PEC-FAX-0007,Fairfax County,Coresite 12100 SV & 12098 SV,Coresite,12379 A SUNRISE VALLEY DR,0173 01 0032A,12.68,"332,957",,"Operating, Expanding",Existing,square footage may be underrepresented,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0173%2001%20%200032A&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.94845694,-77.371707,2024-04-10,SEP,38.94845694,
23,PEC-FAX-0007A,Fairfax County,Coresite 12100 SV & 12098 SV,Coresite,12379 A SUNRISE VALLEY DR,0173 01 0032A,12.68,"610,643",,Expansion,Proposed,existing square footage has been subtracted,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0173%2001%20%200032A&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.94845694,-77.371707,2024-04-10,SEP,38.94845694,
24,PEC-FAX-0008,Fairfax County,SUNRISE TECHNOLOGY PARK,Coresite,12098 SUNRISE VALLEY DR,0173 083A0001A,13.74,"423,341",,Complete,Existing,square footage may be underrepresented,https://icare.fairfaxcounty.gov/ffxcare/datalets/datalet.aspx?mode=profileall&sIndex=0&idx=1&LMparent=138,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.95070431,-77.36489041,2024-04-10,SEP,38.95070431,
25,PEC-FAX-0009,Fairfax County,LEMUR PROPERTIES LLC,Digital Realty,1780 BUSINESS CENTER DR,0183 08 0009A,8.58,"264,888",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0183%2008%20%200009A&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.94855576,-77.32713967,2024-04-10,SEP,38.94855576,
26,PEC-FAX-0010,Fairfax County,ELIAS DC ASSETS,ELIAS DC ASSETS LLC,1764 A OLD MEADOW LN,0294 06 0097F,1.97,"69,089",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0294%2006%20%200097F&jur=129&taxyr=2025,https://www.fairfaxcounty.gov/planning-development/sites/planning-development/files/Assets/Documents/PDF/data-centers-report.pdf#page=1,38.91997921,-77.21347607,2024-04-10,SEP,38.91997921,
27,PEC-FAX-0011,Fairfax County,Equinix DC 97,LDI PROPCO 2 LLC,460 SPRINGPARK PL,0162 54 0002,2.99,"63,912",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/Datalets/Datalet.aspx?mode=&UseSearch=no&pin=0162%2054%20%200002&jur=129&taxyr=2025,,38.96167052,-77.37743129,2024-04-10,SEP,38.96167052,
28,PEC-FAX-0012,Fairfax County,LEE ROAD PROPERTY,LEE ROAD PROPERTY LLC,14558 LEE RD,0343 01 0023E1,1.25,"20,118",,Complete,Existing,,https://icare.fairfaxcounty.gov/ffxcare/datalets/datalet.aspx?mode=com_combined&UseSearch=no&pin=0343%2001%20%200023E1&jur=129&taxyr=2025&LMparent=138,,38.89053684,-77.45367771,2024-04-10,SEP,38.89053684,
